x,y,z,r,g,b
-1.57631,-0.819586,-0.05094,1.0,0.06792,0.0
-1.5873,-0.815744,-0.043025,1.0,0.0573667,0.0
-1.58496,-0.818017,-0.03851,1.0,0.0513467,0.0
-1.5879,-0.813639,-0.043645,1.0,0.0581933,0.0
-1.5749,-0.817189,-0.05143,1.0,0.0685733,0.0
-1.57427,-0.816677,-0.031775,1.0,0.0423667,0.0
-1.58551,-0.817308,-0.044335,1.0,0.0591133,0.0
-1.56979,-0.811304,-0.050865,1.0,0.06782,0.0
-1.57903,-0.817233,-0.05112,1.0,0.06816,0.0
-1.58166,-0.816621,-0.051035,1.0,0.0680467,0.0
-1.5727,-0.813371,-0.046295,1.0,0.0617267,0.0
-1.57304,-0.815768,-0.051845,1.0,0.0691267,0.0
-1.57121,-0.816693,-0.04794,1.0,0.06392,0.0
-1.57264,-0.814525,-0.04956,1.0,0.06608,0.0
-1.57605,-0.818663,-0.051025,1.0,0.0680333,0.0
-1.57757,-0.815687,-0.03169,1.0,0.0422533,0.0
-1.57062,-0.81398,-0.050125,1.0,0.0668333,0.0
-1.57313,-0.811658,-0.0464,1.0,0.0618667,0.0
-1.57533,-0.812423,-0.049145,1.0,0.0655267,0.0
-1.57188,-0.814227,-0.050295,1.0,0.06706,0.0
-1.58622,-0.807747,-0.044465,1.0,0.0592867,0.0
-1.58736,-0.80549,-0.042365,1.0,0.0564867,0.0
-1.57234,-0.813462,-0.04748,1.0,0.0633067,0.0
-1.58823,-0.815115,-0.043395,1.0,0.05786,0.0
-1.5813,-0.816253,-0.047215,1.0,0.0629533,0.0
-1.58625,-0.808738,-0.038475,1.0,0.0513,0.0
-1.59107,-0.813337,-0.04504,1.0,0.0600533,0.0
-1.57845,-0.818891,-0.047705,1.0,0.0636067,0.0
-1.57222,-0.809833,-0.04862,1.0,0.0648267,0.0
-1.58313,-0.807236,-0.04992,1.0,0.06656,0.0
-1.58577,-0.814884,-0.041785,1.0,0.0557133,0.0
-1.58417,-0.808973,-0.04813,1.0,0.0641733,0.0
-1.577,-0.818398,-0.052705,1.0,0.0702733,0.0
-1.58423,-0.816263,-0.04815,1.0,0.0642,0.0
-1.58104,-0.814377,-0.04494,1.0,0.05992,0.0
-1.57879,-0.818162,-0.046215,1.0,0.06162,0.0
-1.56956,-0.814586,-0.04575,1.0,0.061,0.0
-1.5819,-0.808978,-0.043195,1.0,0.0575933,0.0
-1.57088,-0.814864,-0.050055,1.0,0.06674,0.0
-1.58509,-0.81691,-0.043935,1.0,0.05858,0.0
-1.56908,-0.815541,-0.045905,1.0,0.0612067,0.0
-1.569,-0.816574,-0.046045,1.0,0.0613933,0.0
-1.56935,-0.814125,-0.051555,1.0,0.06874,0.0
-1.57576,-0.824897,-0.048395,1.0,0.0645267,0.0
-1.57521,-0.816373,-0.04581,1.0,0.06108,0.0
-1.59042,-0.814771,-0.0433,1.0,0.0577333,0.0
-1.57426,-0.817184,-0.05124,1.0,0.06832,0.0
-1.57182,-0.811281,-0.045735,1.0,0.06098,0.0
-1.5693,-0.814314,-0.052475,1.0,0.0699667,0.0
-1.56981,-0.813624,-0.05347,1.0,0.0712933,0.0
-1.57622,-0.823745,-0.0516,1.0,0.0688,0.0
-1.57646,-0.818285,-0.05047,1.0,0.0672933,0.0
-1.57468,-0.815792,-0.04675,1.0,0.0623333,0.0
-1.59099,-0.81362,-0.049665,1.0,0.06622,0.0
-1.58557,-0.814875,-0.045585,1.0,0.06078,0.0
-1.57283,-0.812926,-0.047345,1.0,0.0631267,0.0
-1.5796,-0.811144,-0.0506,1.0,0.0674667,0.0
-1.5844,-0.817222,-0.04941,1.0,0.06588,0.0
-1.56829,-0.816473,-0.043295,1.0,0.0577267,0.0
-1.57837,-0.818795,-0.05062,1.0,0.0674933,0.0
-1.58008,-0.818513,-0.053275,1.0,0.0710333,0.0
-1.57457,-0.815051,-0.045905,1.0,0.0612067,0.0
-1.585,-0.809378,-0.044155,1.0,0.0588733,0.0
-1.57134,-0.816011,-0.04569,1.0,0.06092,0.0
-1.56988,-0.815793,-0.049525,1.0,0.0660333,0.0
-1.57663,-0.811587,-0.050155,1.0,0.0668733,0.0
-1.59142,-0.812987,-0.05108,1.0,0.0681067,0.0
-1.57781,-0.815514,-0.04543,1.0,0.0605733,0.0
-1.57214,-0.814681,-0.048445,1.0,0.0645933,0.0
-1.56889,-0.812439,-0.054345,1.0,0.07246,0.0
-1.56935,-0.80885,-0.04815,1.0,0.0642,0.0
-1.59033,-0.816489,-0.045795,1.0,0.06106,0.0
-1.5838,-0.805062,-0.044675,1.0,0.0595667,0.0
-1.56975,-0.815103,-0.065615,1.0,0.0874867,0.0
-1.58872,-0.814033,-0.045665,1.0,0.0608867,0.0
-1.58367,-0.806208,-0.047035,1.0,0.0627133,0.0
-1.5707,-0.811674,-0.053655,1.0,0.07154,0.0
-1.5772,-0.818418,-0.05032,1.0,0.0670933,0.0
-1.57535,-0.810834,-0.05284,1.0,0.0704533,0.0
-1.57536,-0.821158,-0.049835,1.0,0.0664467,0.0
-1.57851,-0.81405,-0.04771,1.0,0.0636133,0.0
