D3,density_prior1,density_prior2,density_prior3,density_prior4,posterior
1.7244488977955912,0.0,0.0,0.0,0.0,0.0
1.7276553106212424,0.0,0.0,0.0,0.0,0.0
1.7308617234468937,0.0,0.0,0.0,0.0,0.0
1.734068136272545,0.0,0.0,0.0,0.0,0.0
1.7372745490981965,0.0,0.0,0.0,0.0,0.0
1.7404809619238477,0.0,0.0,0.0,0.0,0.0
1.743687374749499,0.0,0.0,0.0,0.0,0.0
1.7468937875751502,0.0,0.0,0.0,0.0,0.0
1.7501002004008015,0.0,0.0,0.0,0.0,0.0
1.753306613226453,0.0,0.0,0.0,0.0,0.0
1.7565130260521042,0.0,0.0,0.0,0.0,0.0
1.7597194388777555,0.0,0.0,0.0,0.0,0.0
1.7629258517034068,0.0,0.0,0.0,0.0,0.0
1.766132264529058,0.0,0.0,0.0,0.0,0.0
1.7693386773547095,0.0,0.0,0.0,0.0,0.0
1.7725450901803608,0.0,0.0,0.0,0.0,0.0
1.775751503006012,0.0,0.0,0.0,0.0,0.0
1.7789579158316633,0.0,0.0,0.0,0.0,0.0
1.7821643286573146,0.0,0.0,0.0,0.0,0.0
1.785370741482966,0.0,0.0,0.0,0.0,0.0
1.7885771543086173,0.0,0.0,0.0,0.0,0.0
1.7917835671342686,0.0,0.0,0.0,0.0,0.0
1.7949899799599198,0.0,0.0,0.0,0.0,0.0
1.798196392785571,0.0,0.0,0.0,0.0,0.0
1.8014028056112226,0.0,0.0,0.0,0.0,0.0
1.8046092184368738,0.0,0.0,0.0,0.0,0.0
1.807815631262525,0.0,0.0,0.0,0.0,0.0
1.8110220440881764,0.0,0.0,0.0,0.0,0.0
1.8142284569138276,0.0,0.0,0.0,0.0,0.0
1.8174348697394789,0.0,0.0,0.0,0.0,0.0
1.8206412825651301,0.0,0.0,0.0,0.0,0.0
1.8238476953907816,0.0,0.0,0.0,0.0,0.0
1.8270541082164329,0.0,0.0,0.0,0.0,0.0
1.8302605210420841,0.0,0.0,0.0,0.0,0.0
1.8334669338677354,0.0,0.0,0.0,0.0,0.0
1.8366733466933867,0.0,0.0,0.0,0.0,0.0
1.8398797595190381,0.0,0.0,0.0,0.0,0.0
1.8430861723446894,0.0,0.0,0.0,0.0,0.0
1.8462925851703407,0.0,0.0,0.0,0.0,0.0
1.849498997995992,0.0,0.0,0.0,0.0,0.0
1.8527054108216432,0.0,0.0,0.0,0.0,0.0
1.8559118236472947,0.0,0.0,0.0,0.0,0.0
1.859118236472946,0.0,0.0,0.0,0.0,0.0
1.8623246492985972,0.0,0.0,0.0,0.0,0.0
1.8655310621242485,0.0,0.0,0.0,0.0,0.0
1.8687374749498997,0.0,0.0,0.0,0.0,0.0
1.8719438877755512,0.0,0.0,0.0,0.0,0.0
1.8751503006012025,0.0,0.0,0.0,0.0,0.0
1.8783567134268537,0.0,0.0,0.0,0.0,0.0
1.881563126252505,0.0,0.0,0.0,0.0,0.0
1.8847695390781563,0.0,0.0,0.0,0.0,0.0
1.8879759519038077,0.0,0.0,0.0,0.0,0.0
1.891182364729459,0.0,0.0,0.0,0.0,0.0
1.8943887775551103,0.0,0.0,0.0,0.0,0.0
1.8975951903807615,0.0,0.0,0.0,0.0,0.0
1.9008016032064128,0.0,0.0,0.0,0.0,0.0
1.9040080160320643,0.0,0.0,0.0,0.0,0.0
1.9072144288577153,0.0,0.0,0.0,0.0,0.0
1.9104208416833668,0.0,0.0,0.0,0.0,0.0
1.913627254509018,0.0,0.0,0.0,0.0,0.0
1.9168336673346693,0.0,0.0,0.0,0.0,0.0
1.9200400801603206,0.0,0.0,0.0,0.0,0.0
1.9232464929859718,0.0,0.0,0.0,0.0,0.0
1.9264529058116233,0.0,0.0,0.0,0.0,0.0
1.9296593186372746,0.0,0.0,0.0,0.0,0.0
1.9328657314629258,0.0,0.0,0.0,0.0,0.0
1.936072144288577,0.0,0.0,0.0,0.0,0.0
1.9392785571142284,0.0,0.0,0.0,0.0,0.0
1.9424849699398798,0.0,0.0,0.0,0.0,0.0
1.945691382765531,0.0,0.0,0.0,0.0,0.0
1.9488977955911824,0.0,0.0,0.0,0.0,0.0
1.9521042084168336,0.0,0.0,0.0,0.0,0.0
1.955310621242485,0.0,0.0,0.0,0.0,0.0
1.9585170340681364,0.0,0.0,0.0,0.0,0.0
1.9617234468937876,0.0,0.0,0.0,0.0,0.0
1.964929859719439,0.0,0.0,0.0,0.0,0.0
1.9681362725450902,0.0,0.0,0.0,0.0,0.0
1.9713426853707414,0.0,0.0,0.0,0.0,0.0
1.974549098196393,0.0,0.0,0.0,0.0,0.0
1.9777555110220442,0.0,0.0,0.0,0.0,0.0
1.9809619238476954,0.0,0.0,0.0,0.0,0.0
1.9841683366733467,0.0,0.0,0.0,0.0,0.0
1.987374749498998,0.0,0.0,0.0,0.0,0.0
1.9905811623246494,0.0,0.0,0.0,0.0,0.0
1.9937875751503005,0.0,0.0,0.0,0.0,0.0
1.996993987975952,0.0,0.0,0.0,0.0,0.0
2.000200400801603,0.0,0.0,0.0,0.0,0.0
2.0034068136272545,0.0,0.0,0.0,0.0,0.0
2.006613226452906,0.0,0.0,0.0,0.0,0.0
2.009819639278557,0.0,0.0,0.0,0.0,0.0
2.0130260521042085,0.0,0.0,0.0,0.0,0.0
2.0162324649298595,0.0,0.0,0.0,0.0,0.0
2.019438877755511,0.0,0.0,0.0,0.0,0.0
2.0226452905811625,0.0,0.0,0.0,0.0,0.0
2.0258517034068135,0.0,0.0,0.0,0.0,0.0
2.029058116232465,0.0,0.0,0.0,0.0,0.0
2.032264529058116,0.0,0.0,0.0,0.0,0.0
2.0354709418837675,0.0,0.0,0.0,0.0,0.0
2.038677354709419,0.0,0.0,0.0,0.0,0.0
2.04188376753507,0.0,0.0,0.0,0.0,0.0
2.0450901803607215,0.0,0.0,0.0,0.0,0.0
2.0482965931863726,0.0,0.0,0.0,0.0,0.0
2.051503006012024,0.0,0.0,0.0,0.0,0.0
2.0547094188376755,0.0,0.0,0.0,0.0,0.0
2.0579158316633266,0.0,0.0,0.0,0.0,0.0
